ref,value,footprint,Manufacturer,Mfg. P/N,Farnell,DigiKey,Comments
C1x,10uF,SM0805,muRata,GRM21BR61E106KA73L,1735530,,"X5R, ±10%, 25V, Ceramic"
C2x,10uF,SM0805,muRata,GRM21BR61E106KA73L,1735530,,"X5R, ±10%, 25V, Ceramic"
C3x,1uF,SM0603,multicomp,MCCA000529,1759407,,"X5R, ±10%, 16V, Ceramic"
C4x,0.1uF,SM0402,multicomp,MCCA000050,1758896,,"X7R, ±10%, 16V, Ceramic"
C5x,0.1uF,SM0402,multicomp,MCCA000050,1758896,,"X7R, ±10%, 16V, Ceramic"
C6x,0.1uF,SM0402,multicomp,MCCA000050,1758896,,"X7R, ±10%, 16V, Ceramic"
C7x,0.1uF,SM0402,multicomp,MCCA000050,1758896,,"X7R, ±10%, 16V, Ceramic"
C8x,0.1uF,SM0402,multicomp,MCCA000050,1758896,,"X7R, ±10%, 16V, Ceramic"
C9x,0.1uF,SM0402,multicomp,MCCA000050,1758896,,"X7R, ±10%, 16V, Ceramic"
C10x,0.1uF,SM0402,multicomp,MCCA000050,1758896,,"X7R, ±10%, 16V, Ceramic"
C11x,0.1uF,SM0402,multicomp,MCCA000050,1758896,,"X7R, ±10%, 16V, Ceramic"
C12,10uF 16V,SMC3216,Vishay Sprague,TR3A106K016C1700,1754086,,
D1x,DIODE,SOD-923,On Semiconductor,NSR0130P2T5G,1453608,,IF 100mA
D2xc,3.6V Zener,SOD-323,On Semiconductor,MM3Z3V6T1G,1431199,,"3.6V, 0.2W, 5%"
L1x,10uH,MLF1608E100K,TDK,MLF1608E100K,1669541,445-1025-1-ND,"10%, Max DC R 1.7ohm, 10ma, magnetic shielded"
P1x,P1,EDGEPIN,Hirose,DF11-10DP-2DSA(24),,H10232-ND,"Part numbers for Tin - Gold: DF11-10DP-2DSA(01), H2853-ND"
R1x,1K,SM0402,multicomp,MC 0.0625W 0402 1% 1K,1358043,,"1%, 0.06W"
R2x,0.05,SM0805,Susumu,RL1220T-R050-G,9376771,,"0.25W,  2%, current sense"
R3x,4.99K,SM0402,multicomp,MC 0.0625W 0402 1% 4K99,1803107,,"1%, 0.06W"
R4x,30.0K,SM0402,multicomp,MC 0.0625W 0402 1% 10K,1358082,,"1%, 0.06W"
R5x,10.0K,SM0402,multicomp,MC 0.0625W 0402 1% 10K,1358069,,"1%, 0.06W"
R6x,10.0K,SM0402,multicomp,MC 0.0625W 0402 1% 10K,1358069,,"1%, 0.06W"
RP2xc,R_PACK4,CAY16-XXXJ4,Bourns,CAY16-103J4LF,1770137,,
U1x,ZXCT1009,SOT23_3,Zetex,ZXCT1009FTA,See comments,ZXCT1009FCT-ND,Farnell equiv: 1132757
U2x,MCP9701A,SOT23_3,Microchip,MCP9701AT-E/TT,,MCP9701AT-E/TTCT-ND,
U3x,LM3480IM-3.3,SOT23_3,National Semiconductor,LM3480IM3-3.3/NOPB,1469102,LM3480IM3-3.3CT-ND,
U4,ATXMEGA32A4,VQFN44-XMEGA,Atmel,ATxmega32A4-MH,,,Also consider: ATXMEGA32D4 (DigiKey: ATXMEGA32D4-MH-ND)
U5,TC4428A,SOIC8,Microchip,TC4428ACOA,1332312,,
U6,TC4428A,SOIC8,Microchip,TC4428ACOA,1332312,,
U7,MOSFET,SOIC8,ROHM,SP8M4FU6TB,1525587,,
U8,MOSFET,SOIC8,ROHM,SP8M4FU6TB,1525587,,
